time,T(^oC),RH(%),WD,WS(m/s),CO(ppm),NO(ppb),NO2(ppb),O3(ppb),SO2(ppb),CH4(ppm),THC(ppm),NMHC(ppm)
2021/2/3 01:22,15.7,82.5,329,1.56,0.812,5.49,23.06,13.2,3.2,2.23,2.49,0.25
2021/2/3 01:23,15.8,82.6,343.8,1.59,0.825,4.31,24.04,12.8,3,2.23,2.48,0.25
2021/2/3 01:24,15.8,82.5,304.1,1.76,0.808,2.56,24.44,12.4,2.8,2.23,2.48,0.25
2021/2/3 01:25,15.7,82.5,304.1,2.08,0.812,3.05,23.7,12.3,3.1,2.23,2.47,0.24
2021/2/3 01:26,15.7,82.5,331.8,2.54,0.812,5.11,22.65,12.9,3,2.22,2.47,0.24
2021/2/3 01:27,15.7,82.6,308.9,2.06,0.802,6.43,21.61,12.9,3.6,2.23,2.46,0.23
2021/2/3 01:28,15.7,82.5,323.3,2.45,0.806,6.21,21.88,12.9,2.4,2.22,2.46,0.24
2021/2/3 01:29,15.6,82.5,339.9,1.81,0.805,5.51,22.21,12.4,3.5,2.22,2.45,0.23
2021/2/3 01:30,15.7,82.7,326.9,1.86,0.818,4.62,21.98,12.7,2.6,2.22,2.45,0.23
2021/2/3 01:31,15.7,82.7,306.9,1.8,0.8,3.31,22.19,12.9,3.5,2.22,2.45,0.23
2021/2/3 01:32,15.7,82.7,340.2,1.39,0.792,2.52,22.59,13.1,3.2,2.22,2.44,0.22
2021/2/3 01:33,15.7,82.6,337.7,1.62,0.804,2.63,23.56,12.6,2.7,2.22,2.45,0.23
2021/2/3 01:34,15.7,82.6,337.5,2.66,0.805,3.33,23.33,12.9,3,2.21,2.45,0.23
2021/2/3 01:35,15.7,82.5,318.3,1.94,0.789,3.73,23.25,13.1,3.3,2.23,2.47,0.24
2021/2/3 01:36,15.6,82.5,338.2,2.01,0.778,3.55,23.01,13.2,3.4,2.22,2.46,0.24
2021/2/3 01:37,15.7,82.7,341.6,1.9,0.792,4.17,22.31,12.6,3.6,2.22,2.45,0.23
2021/2/3 01:38,15.7,82.7,0.2,1.94,0.797,5.08,21.9,12.6,3,2.22,2.46,0.24
2021/2/3 01:39,15.7,82.6,340.7,1.72,0.773,5.36,21.18,11.9,3.3,2.23,2.46,0.23
2021/2/3 01:40,15.6,82.6,346.6,1.96,0.795,5.24,21.73,12.3,3.8,2.22,2.46,0.23
2021/2/3 01:41,15.6,82.6,335.1,2.64,0.761,5.73,22.19,12.2,2.9,2.23,2.46,0.23
2021/2/3 01:42,15.6,82.6,336.3,3.41,0.759,4.85,23.13,12.8,2.3,2.22,2.45,0.22
2021/2/3 01:43,15.6,82.6,334.2,3.17,0.782,4.41,22.99,12.8,3.7,2.22,2.44,0.22
2021/2/3 01:44,15.6,82.6,330.5,2.73,0.779,5.61,21.86,13.2,3.1,2.22,2.43,0.21
2021/2/3 01:45,15.6,82.6,333.4,1.7,0.756,5.99,21.4,12.6,3.1,2.21,2.43,0.21
2021/2/3 01:46,15.6,82.6,310.4,1.95,0.744,5.58,22.05,12.8,3.8,,,
2021/2/3 01:47,15.6,82.7,340,1.65,0.786,5.62,22.47,12.1,3.4,,,
2021/2/3 01:48,15.6,82.7,326.3,3.02,0.776,4.82,22.24,12.2,2.2,,,
2021/2/3 01:49,15.5,82.6,341.1,2.35,0.773,4.65,21.69,12.3,3,,,
2021/2/3 01:50,15.5,82.6,343.8,2.53,0.766,4.65,20.5,13.1,2.3,,,
2021/2/3 01:51,15.5,82.7,333.7,2.13,0.758,3.94,21.55,12.5,3.5,,,
2021/2/3 01:52,15.5,82.7,329.8,2.36,0.766,4.34,21.9,12.8,2.8,,,
2021/2/3 01:53,15.5,82.7,325.3,1.93,0.786,5.67,20.87,12.8,3.6,,,
2021/2/3 01:54,15.4,82.7,326.2,1.72,0.788,4.41,22.24,12.6,3.7,,,
2021/2/3 01:55,15.5,82.9,337.8,1.46,0.777,2.9,23.4,12,3,,,
2021/2/3 01:56,15.5,82.9,340.9,1.57,0.781,4.11,22.19,12.2,3.3,,,
2021/2/3 01:57,15.5,82.8,342,1.87,0.772,4.89,22,11.6,4.2,,,
2021/2/3 01:58,15.5,82.9,358.3,1.63,0.761,4.39,23.11,11.8,3.5,,,
2021/2/3 01:59,15.5,82.8,343.8,1.79,0.753,2.82,24.45,10.7,2.6,,,
2021/2/3 02:00,15.5,82.9,349.2,1.61,0.776,3.85,23.42,11.1,2.9,,,
2021/2/3 02:01,15.5,83.1,318.5,1.38,0.752,4.93,22.63,10.8,3.4,,,
2021/2/3 02:02,15.5,82.9,341.4,1.61,0.781,6.22,22.25,11.1,2.6,,,
2021/2/3 02:03,15.6,83,327.3,1.61,0.792,6.27,22.66,10.4,2.5,,,
2021/2/3 02:04,15.5,82.9,317.6,1.38,0.797,5.05,24.33,10.7,2.8,,,
2021/2/3 02:05,15.4,82.9,321.9,1.59,0.78,4.64,24.49,10.5,3,,,
2021/2/3 02:06,15.4,82.9,332.4,1.52,0.778,3.69,23.46,10.7,2.9,,,
2021/2/3 02:07,15.5,82.9,357.6,1.57,0.761,3.86,23.23,10.6,1.9,,,
2021/2/3 02:08,15.4,83,10.2,1.41,0.774,3.81,23.26,10.4,1.6,,,
2021/2/3 02:09,15.4,83,346.9,1.09,0.771,4,22.63,10.1,2.1,,,
2021/2/3 02:10,15.4,83,25.8,0.9,0.769,3.61,21.96,10.3,2.3,,,
2021/2/3 02:11,15.5,83.2,351.1,1.12,0.757,2.98,22.2,9.9,2.1,,,
2021/2/3 02:12,15.5,83.1,343.6,1.42,0.768,4.03,21.63,9.8,3.1,,,
2021/2/3 02:13,15.4,83,326.4,1.46,0.759,4.67,21.75,9.9,2.9,2.27,2.49,0.22
2021/2/3 02:14,15.5,83.1,354.2,1.4,0.759,4.5,22.03,10.1,2.7,2.27,2.49,0.22
2021/2/3 02:15,15.5,83.2,346.4,1.69,0.745,5.15,21.96,9.8,2.9,2.26,2.48,0.22
2021/2/3 02:16,15.4,83.2,350.2,1.48,0.759,4.39,22.48,9.8,2.7,2.26,2.48,0.23
2021/2/3 02:17,15.5,83.3,350.4,1.75,0.743,3.66,23.01,9.3,2.6,2.26,2.49,0.23
2021/2/3 02:18,15.5,83.2,342.4,1.81,0.729,3.29,23.56,9.8,2.4,2.25,2.48,0.23
2021/2/3 02:19,15.5,83.3,359.5,1.62,0.763,2.77,24.13,9.4,2.1,2.25,2.48,0.23
2021/2/3 02:20,15.5,83.2,328.7,1.17,0.759,2.91,23.87,9.5,2.5,2.25,2.48,0.24
2021/2/3 02:21,15.5,83.3,355.5,0.93,0.755,3.66,22.93,10,2.2,2.25,2.48,0.24
2021/2/3 02:22,15.5,83.3,6.6,0.93,0.736,5,21.67,9.4,2.2,2.25,2.48,0.23
2021/2/3 02:23,15.6,83.5,21.8,0.91,0.739,6.09,20.42,9.7,1.6,2.26,2.49,0.23
2021/2/3 02:24,15.6,83.4,335,1.15,0.753,6.16,20.91,9.5,3,2.25,2.49,0.23
2021/2/3 02:25,15.6,83.5,351.8,1.55,0.767,6.26,21.05,10.3,2.9,2.25,2.48,0.23
2021/2/3 02:26,15.6,83.4,43.5,0.94,0.747,5.66,20.94,9.8,2.6,2.25,2.48,0.23
2021/2/3 02:27,15.6,83.4,57.4,0.99,0.745,5.79,21.22,9.7,3,2.25,2.48,0.24
2021/2/3 02:28,15.7,83.5,47.2,1.4,0.747,6.33,21.17,9,2.7,2.25,2.49,0.23
2021/2/3 02:29,15.6,83.3,46.5,1.5,0.765,7.13,21.17,8.8,2.4,2.25,2.49,0.24
2021/2/3 02:30,15.5,83.2,30.5,1.47,0.747,7.41,22.54,7.4,2.5,2.25,2.49,0.24
2021/2/3 02:31,15.5,83.2,350.8,1.13,0.749,7.17,23.67,7,2.2,2.25,2.48,0.23
2021/2/3 02:32,15.6,83.3,315,1.3,0.748,6.14,23,7.2,2.8,2.26,2.5,0.24
2021/2/3 02:33,15.6,83.3,351.6,1.35,0.729,6.48,22.04,8.1,2.2,2.26,2.5,0.24
2021/2/3 02:34,15.5,83.3,335.9,1.17,0.732,5.35,22.59,8.6,2.3,2.25,2.49,0.24
2021/2/3 02:35,15.5,83.1,303.1,1.18,0.737,6.31,21.4,10,1.9,2.24,2.47,0.23
2021/2/3 02:36,15.4,83.2,337.1,0.99,0.749,6.74,21.42,10.2,2.7,2.23,2.47,0.23
2021/2/3 02:37,15.5,83.4,348.6,1.26,0.733,7.26,21.41,9.8,2.6,2.24,2.47,0.23
2021/2/3 02:38,15.4,83.2,350.8,1.71,0.716,5.52,22.82,10.5,2.3,2.23,2.46,0.22
2021/2/3 02:39,15.5,83.4,11.3,1.29,0.763,5.75,22.4,11.5,3,2.23,2.46,0.23
2021/2/3 02:40,15.5,83.5,13.7,1.19,0.707,5.51,22.14,10.8,2.8,2.23,2.46,0.23
2021/2/3 02:41,15.5,83.4,13.1,1.21,0.708,4.62,22.81,10.9,2.9,2.24,2.48,0.24
2021/2/3 02:42,15.6,83.5,40.7,0.83,0.728,4.2,21.86,10.5,2.4,2.24,2.48,0.24
2021/2/3 02:43,15.6,83.4,39.1,0.81,0.706,4.17,20.37,10.9,3.1,2.24,2.48,0.24
2021/2/3 02:44,15.6,83.3,61.6,1.14,0.72,3.58,20.13,10.4,2.2,2.24,2.48,0.24
2021/2/3 02:45,15.6,83.3,55.4,1.31,0.736,2.64,19.62,11,2.8,2.24,2.49,0.26
2021/2/3 02:46,15.5,83.2,29.1,1.82,0.727,4.21,18.24,11,2.8,2.24,2.5,0.25
2021/2/3 02:47,15.4,83.1,16.5,1.76,0.716,4.57,18.39,11.6,2.1,2.24,2.5,0.26
2021/2/3 02:48,15.4,83.1,28.2,1.31,0.743,4.87,18.07,10.7,2.3,2.25,2.5,0.26
2021/2/3 02:49,15.4,83.3,42.9,1.31,0.723,4.94,18.75,11,1.6,2.24,2.49,0.25
2021/2/3 02:50,15.4,83.3,28.5,1.44,0.725,3.85,19.66,11,2.3,2.22,2.46,0.24
2021/2/3 02:51,15.5,83.5,44.9,1.51,0.717,2.89,20.85,11.1,1.1,2.22,2.46,0.24
2021/2/3 02:52,15.5,83.4,37.4,1.47,0.73,3.42,19.96,10.5,2.7,2.21,2.45,0.24
2021/2/3 02:53,15.5,83.3,52.3,1.29,0.741,4.75,20.01,10.3,2.3,2.21,2.45,0.24
2021/2/3 02:54,15.5,83.4,77.4,0.7,0.723,5.2,19.86,9.2,3,2.2,2.45,0.24
2021/2/3 02:55,15.5,83.3,37.6,1.18,0.708,4.67,21.22,8.7,1.9,2.2,2.44,0.24
2021/2/3 02:56,15.4,83.2,15,1.1,0.701,4.85,21.97,8.4,2.1,2.19,2.43,0.23
2021/2/3 02:57,15.4,83.3,40.7,1.6,0.724,6.11,20.98,9.1,2.6,2.19,2.43,0.24
2021/2/3 02:58,15.5,83.4,50.1,1.42,0.71,5.98,20.6,9.7,2.9,2.18,2.42,0.24
2021/2/3 02:59,15.5,83.3,45.8,1.16,0.71,5.34,20.66,10.7,2.5,2.17,2.42,0.24
2021/2/3 03:00,15.5,83.3,22,1.31,0.713,4.8,20.29,10.6,2.2,2.17,2.41,0.24
2021/2/3 03:01,15.5,83.3,13.7,1.18,0.716,5.6,19.73,10.7,2.2,2.18,2.41,0.24
2021/2/3 03:02,15.4,83.2,353.3,1.02,0.71,5.04,20.44,10.9,2.7,2.18,2.41,0.24
2021/2/3 03:03,15.5,83.4,20.2,0.86,0.726,4.8,21,10.5,3.2,2.18,2.41,0.23
2021/2/3 03:04,15.5,83.4,43.8,0.95,0.716,4.59,21.13,10.6,2.8,2.18,2.42,0.24
2021/2/3 03:05,15.5,83.4,53.6,0.86,0.722,3.76,21.03,10.1,2.2,2.18,2.42,0.25
2021/2/3 03:06,15.6,83.3,77.8,0.96,0.719,3.66,20.47,10.3,2.4,2.17,2.42,0.25
2021/2/3 03:07,15.5,83.3,185.1,0.55,0.711,3.9,19.98,10.6,2.7,2.17,2.42,0.25
2021/2/3 03:08,15.5,83.2,40.5,1.05,0.706,3.75,20.29,11.1,2.2,2.17,2.41,0.24
2021/2/3 03:09,15.5,83.3,58.2,0.92,0.717,3.79,20.31,11.2,2,2.17,2.41,0.24
2021/2/3 03:10,15.5,83.3,16.7,0.69,0.695,2.22,21.09,11.2,1.8,2.17,2.41,0.24
2021/2/3 03:11,15.5,83.2,353.4,0.95,0.691,3.43,20.52,10.5,2.6,2.17,2.41,0.24
2021/2/3 03:12,15.5,83.2,19.5,0.69,0.69,5.38,19.03,11.6,2.6,2.17,2.41,0.24
2021/2/3 03:13,15.5,83.3,351,0.84,0.703,3.72,20.38,11,2,2.17,2.41,0.24
2021/2/3 03:14,15.6,83.3,2.7,1.23,0.716,3.69,21.25,11.8,3,2.16,2.4,0.24
2021/2/3 03:15,15.5,83.2,48.3,1.7,0.707,5.1,20.52,12.7,1.9,2.16,2.39,0.23
2021/2/3 03:16,15.5,83.2,29.5,1.19,0.691,5.83,19.31,14,2.6,2.14,2.38,0.24
2021/2/3 03:17,15.5,83.2,30.6,1.3,0.681,4.58,19.74,14.2,2.6,2.14,2.37,0.23
2021/2/3 03:18,15.5,83.2,43.8,1.34,0.68,4.41,17.96,15.4,3,2.14,2.37,0.24
2021/2/3 03:19,15.6,83.3,76.7,1.44,0.713,4.98,16.43,15.1,3.3,2.13,2.37,0.24
2021/2/3 03:20,15.6,83.2,33.9,1.15,0.697,4.52,16.8,15.3,3.3,2.13,2.37,0.24
2021/2/3 03:21,15.6,83.1,33.6,2.07,0.701,4.56,17.01,15.8,2.9,2.13,2.37,0.24
2021/2/3 03:22,15.6,83.2,19.2,1.72,0.703,4.8,16.44,16.8,2.1,2.13,2.36,0.23
2021/2/3 03:23,15.6,83.2,352.4,1.19,0.689,4.92,15.59,15.7,2.3,2.14,2.37,0.23
2021/2/3 03:24,15.7,83.2,22.2,1.05,0.711,4.42,15.64,15.7,2.2,2.14,2.38,0.24
2021/2/3 03:25,15.7,83.2,14.3,1.08,0.702,3.9,16.52,15.3,2.9,2.13,2.38,0.24
2021/2/3 03:26,15.7,83.2,358,1.04,0.693,3.08,17.02,15.7,2.3,2.13,2.38,0.24
2021/2/3 03:27,15.8,83.2,46.4,0.77,0.69,3.62,16.61,15.4,1.9,2.13,2.37,0.24
2021/2/3 03:28,15.7,83.1,69,0.71,0.696,4.83,15.95,15.3,1.5,2.13,2.37,0.24
2021/2/3 03:29,15.8,83,59.5,0.63,0.705,5.72,16.55,15,2.6,2.13,2.36,0.23
2021/2/3 03:30,15.8,83,342.1,0.53,0.691,6.6,16.93,15.9,2.5,2.13,2.36,0.23
2021/2/3 03:31,15.7,82.9,22.9,0.64,0.69,6.39,17.26,16.2,2.5,2.13,2.35,0.22
2021/2/3 03:32,15.7,82.9,13.3,0.92,0.692,6.65,17.59,16.6,2.7,2.13,2.35,0.22
2021/2/3 03:33,15.8,82.9,12.8,0.99,0.694,6.75,17.28,15.9,2.1,2.13,2.35,0.22
2021/2/3 03:34,15.7,82.8,358.3,1.32,0.686,6.84,16.83,16.4,2.1,2.13,2.35,0.22
2021/2/3 03:35,15.7,82.8,43.8,0.83,0.692,6.49,17.38,16.5,1.8,2.13,2.34,0.22
2021/2/3 03:36,15.8,82.8,41.9,0.56,0.711,5.64,16.88,16.5,2.4,2.13,2.34,0.22
2021/2/3 03:37,15.8,82.8,59.2,0.91,0.679,4.07,17.05,16.7,2,2.12,2.33,0.21
2021/2/3 03:38,15.8,82.7,39.7,1.58,0.69,3.36,17.48,17.1,2.6,2.12,2.32,0.2
2021/2/3 03:39,15.8,82.7,31.6,1.17,0.693,2.31,17.73,17.3,2.9,2.12,2.32,0.2
2021/2/3 03:40,15.8,82.7,35.6,1.77,0.689,3.11,16.87,16.9,3.1,2.12,2.32,0.2
2021/2/3 03:41,15.8,82.7,44,1.46,0.684,4.48,15.86,17.2,2.1,2.12,2.32,0.2
2021/2/3 03:42,15.8,82.6,11.7,1.3,0.687,3.39,15.84,17.7,1.6,2.12,2.32,0.19
2021/2/3 03:43,15.8,82.5,5.5,0.88,0.657,3.6,15.73,17.4,1.6,2.12,2.32,0.2
2021/2/3 03:44,15.8,82.5,13.6,0.69,0.677,4.34,15.97,15.9,2.3,2.12,2.32,0.2
2021/2/3 03:45,15.8,82.6,20.5,1.01,0.708,4.49,15.92,16.7,2.2,2.12,2.32,0.19
2021/2/3 03:46,15.8,82.5,12.7,0.78,0.682,4.77,15.92,16.9,2.2,2.12,2.32,0.2
2021/2/3 03:47,15.8,82.5,0,0.98,0.687,5.29,15.38,16.8,2.3,2.12,2.31,0.19
2021/2/3 03:48,15.9,82.6,55.6,0.79,0.667,5.18,15.28,16.4,1.7,2.12,2.32,0.2
2021/2/3 03:49,15.9,82.5,44.6,0.63,0.684,4.42,15.96,16.4,2,2.12,2.31,0.19
2021/2/3 03:50,15.9,82.5,354.7,0.91,0.651,5.31,15.77,16.2,2.7,2.12,2.31,0.19
2021/2/3 03:51,15.9,82.3,350.7,1.34,0.66,6.12,16.03,16.1,3.2,2.12,2.31,0.19
2021/2/3 03:52,15.8,82.2,333.7,1.64,0.697,6.34,16.54,16,2.8,2.12,2.31,0.19
2021/2/3 03:53,15.8,82.2,2.9,1.55,0.663,6.24,16.55,16.2,1.8,2.11,2.3,0.19
2021/2/3 03:54,15.8,82.3,354.8,0.98,0.66,6.03,16.21,15.8,2.1,2.11,2.29,0.18
2021/2/3 03:55,15.8,82.1,325.9,1.05,0.682,5.73,16.22,15.9,2.7,2.11,2.3,0.19
2021/2/3 03:56,15.7,82.1,344.6,1.04,0.7,4.97,17.12,14.8,2.2,2.12,2.32,0.19
2021/2/3 03:57,15.6,82.1,306.5,1.3,0.699,4.89,16.3,14.5,2,2.14,2.33,0.19
2021/2/3 03:58,15.6,82,307.5,1.11,0.696,4,16.94,12.1,1.7,2.17,2.37,0.2
2021/2/3 03:59,15.5,82,339.4,1.65,0.683,4.45,17.57,12.9,2.4,2.16,2.36,0.2
2021/2/3 04:00,15.6,82.2,350.2,1.36,0.683,6.37,17.36,13.7,2,2.15,2.35,0.2
2021/2/3 04:01,15.5,82,303.9,1.3,0.685,5.54,18.02,15.7,2.4,2.13,2.32,0.18
2021/2/3 04:02,15.4,82,281.7,1.17,0.705,4.72,19.08,11.2,2.4,2.17,2.38,0.2
2021/2/3 04:03,15.3,82,298,1.28,0.691,2.99,20.2,10.7,2.1,2.17,2.37,0.21
2021/2/3 04:04,15.3,82.1,311,1.36,0.707,3.19,19.71,9.7,2.6,2.17,2.38,0.21
2021/2/3 04:05,15.3,82.1,293.4,1.48,0.703,4.57,18.69,10.8,2.3,2.16,2.37,0.21
2021/2/3 04:06,15.2,82.2,300.2,1.45,0.696,4.58,18.34,10.3,2.7,2.16,2.37,0.21
